epoch,accuracy,train_loss,train_acc,time
  1, 43.890, 1.804, 32.661,43.84974956512451
  2, 43.630, 1.428, 47.551,87.47245383262634
  3, 51.710, 1.196, 56.890,131.52098441123962
  4, 66.790, 1.047, 62.823,175.64893579483032
  5, 72.890, 0.932, 67.312,219.80662369728088
  6, 74.870, 0.849, 70.567,264.02627825737
  7, 75.320, 0.765, 73.627,308.3560264110565
  8, 74.550, 0.706, 75.815,352.62954235076904
  9, 79.360, 0.665, 77.273,396.49150490760803
 10, 79.690, 0.629, 78.492,440.4394233226776
 11, 80.740, 0.600, 79.387,484.3137538433075
 12, 82.050, 0.573, 80.536,528.9619982242584
 13, 81.720, 0.555, 81.302,572.7959358692169
 14, 82.600, 0.530, 82.021,616.7507820129395
 15, 79.150, 0.516, 82.339,660.2694580554962
 16, 82.070, 0.498, 83.031,703.8637337684631
 17, 83.000, 0.487, 83.567,747.916298866272
 18, 84.780, 0.471, 84.009,792.031165599823
 19, 84.490, 0.462, 84.381,835.3369634151459
 20, 83.650, 0.448, 84.996,879.0863225460052
 21, 84.640, 0.442, 85.051,922.790144443512
 22, 84.210, 0.429, 85.580,966.4993364810944
 23, 85.100, 0.415, 85.907,1010.668792963028
 24, 84.910, 0.416, 86.060,1054.2786440849304
 25, 85.890, 0.406, 86.194,1098.1206414699554
 26, 84.900, 0.392, 86.806,1142.2731354236603
 27, 85.800, 0.392, 86.720,1185.982635974884
 28, 86.810, 0.383, 87.006,1230.0978903770447
 29, 86.400, 0.378, 87.357,1273.766503572464
 30, 89.720, 0.289, 90.261,1318.0097703933716
 31, 90.120, 0.261, 91.157,1361.8678953647614
 32, 90.290, 0.253, 91.521,1406.0968203544617
 33, 90.050, 0.248, 91.611,1450.1305816173553
 34, 90.380, 0.238, 92.063,1493.9818046092987
 35, 90.500, 0.235, 92.101,1538.8386583328247
 36, 90.420, 0.227, 92.282,1582.782830953598
 37, 90.170, 0.230, 92.166,1626.6571958065033
 38, 90.380, 0.225, 92.444,1670.5533909797668
 39, 90.630, 0.219, 92.525,1715.1788682937622
 40, 90.540, 0.214, 92.786,1758.8952493667603
 41, 90.580, 0.214, 92.703,1802.8477244377136
 42, 90.430, 0.215, 92.801,1846.8336498737335
 43, 90.700, 0.210, 92.823,1890.9994659423828
 44, 90.520, 0.205, 93.038,1935.603993177414
 45, 90.600, 0.203, 93.112,1979.615570306778
 46, 90.770, 0.198, 93.290,2023.9180707931519
 47, 90.650, 0.200, 93.153,2067.631113767624
 48, 90.680, 0.201, 93.270,2111.2668166160583
 49, 90.870, 0.193, 93.508,2155.4068791866302
 50, 90.970, 0.194, 93.431,2199.181221961975
