epoch,accuracy,train_loss,train_acc,time
  1, 86.430, 0.563, 79.360,31.047528505325317
  2, 88.800, 0.333, 88.064,62.26128101348877
  3, 89.220, 0.288, 89.714,93.18547987937927
  4, 90.680, 0.260, 90.793,123.84423542022705
  5, 90.610, 0.245, 91.208,154.53373432159424
  6, 92.030, 0.231, 91.912,185.71843934059143
  7, 92.000, 0.224, 91.965,215.78814387321472
  8, 91.700, 0.211, 92.507,246.22234416007996
  9, 92.180, 0.204, 92.690,276.9018392562866
 10, 92.220, 0.199, 92.928,308.17731523513794
 11, 92.750, 0.192, 93.206,338.6744284629822
 12, 92.040, 0.187, 93.299,369.3010551929474
 13, 92.620, 0.181, 93.584,399.6874346733093
 14, 92.740, 0.179, 93.586,430.4625837802887
 15, 92.950, 0.176, 93.817,461.19441628456116
 16, 92.740, 0.173, 93.890,492.1111981868744
 17, 92.710, 0.167, 94.129,522.5965507030487
 18, 91.970, 0.165, 94.148,552.9636492729187
 19, 92.600, 0.164, 94.222,583.1258687973022
 20, 93.030, 0.158, 94.403,613.8881113529205
 21, 93.060, 0.157, 94.387,644.3156869411469
 22, 92.110, 0.156, 94.530,674.7823660373688
 23, 92.480, 0.154, 94.482,705.154580116272
 24, 92.760, 0.153, 94.606,735.8350851535797
 25, 93.530, 0.150, 94.683,766.4193203449249
 26, 93.180, 0.151, 94.750,796.9850869178772
 27, 92.930, 0.148, 94.734,827.201694726944
 28, 92.580, 0.142, 95.097,857.4626152515411
 29, 93.110, 0.142, 95.002,888.6666750907898
 30, 93.980, 0.108, 96.319,919.5883512496948
 31, 93.980, 0.095, 96.747,949.6947433948517
 32, 94.030, 0.091, 96.915,980.0243093967438
 33, 94.070, 0.088, 96.950,1010.482430934906
 34, 94.170, 0.084, 97.120,1041.607581615448
 35, 94.150, 0.083, 97.128,1073.3765156269073
 36, 94.070, 0.079, 97.266,1104.1355710029602
 37, 94.010, 0.078, 97.351,1134.6301221847534
 38, 93.950, 0.075, 97.467,1165.9432435035706
 39, 94.070, 0.077, 97.355,1196.5435683727264
 40, 94.090, 0.072, 97.626,1227.2732515335083
 41, 94.240, 0.071, 97.533,1258.399001121521
 42, 94.070, 0.069, 97.593,1288.9702351093292
 43, 94.010, 0.069, 97.596,1319.6047542095184
 44, 93.950, 0.067, 97.759,1350.4178938865662
 45, 93.960, 0.066, 97.729,1380.8638217449188
 46, 94.020, 0.065, 97.798,1411.6841955184937
 47, 93.930, 0.063, 98.007,1442.449239730835
 48, 93.920, 0.063, 97.916,1473.1153421401978
 49, 94.050, 0.062, 97.866,1504.144071340561
 50, 93.970, 0.060, 97.914,1534.652676820755
