epoch,accuracy,train_loss,train_acc,time
  1, 98.010, 0.306, 90.215,47.4747793674469
  2, 98.810, 0.081, 97.806,95.69195127487183
  3, 98.920, 0.057, 98.476,143.27559542655945
  4, 99.240, 0.046, 98.811,191.2985484600067
  5, 99.100, 0.038, 99.030,238.24610424041748
  6, 99.440, 0.035, 99.136,287.6736102104187
  7, 99.390, 0.032, 99.178,335.8699760437012
  8, 99.030, 0.030, 99.278,383.0265748500824
  9, 99.380, 0.027, 99.378,430.26194739341736
 10, 99.220, 0.026, 99.410,477.3540322780609
 11, 99.380, 0.023, 99.457,525.5358712673187
 12, 99.470, 0.023, 99.509,573.4717433452606
 13, 99.270, 0.021, 99.532,620.7101798057556
 14, 99.430, 0.021, 99.561,668.9460663795471
 15, 99.390, 0.021, 99.574,715.8752586841583
 16, 99.330, 0.020, 99.587,763.6100001335144
 17, 99.390, 0.018, 99.686,811.7388463020325
 18, 99.460, 0.019, 99.589,860.0465130805969
 19, 99.300, 0.017, 99.690,907.3968460559845
 20, 99.320, 0.017, 99.674,954.346006155014
 21, 99.260, 0.017, 99.679,1001.4223985671997
 22, 99.370, 0.017, 99.691,1048.5649988651276
 23, 99.340, 0.018, 99.653,1097.0215830802917
 24, 99.170, 0.016, 99.714,1145.0803806781769
 25, 99.400, 0.015, 99.742,1194.0368390083313
 26, 99.400, 0.016, 99.693,1241.1852016448975
 27, 99.240, 0.014, 99.760,1288.5385100841522
 28, 99.280, 0.015, 99.748,1335.27055478096
 29, 99.210, 0.014, 99.786,1382.7617738246918
 30, 99.550, 0.008, 99.963,1431.0393517017365
 31, 99.520, 0.005, 100.062,1478.736679315567
 32, 99.600, 0.005, 100.065,1526.6481115818024
 33, 99.550, 0.004, 100.097,1573.993884086609
 34, 99.520, 0.004, 100.102,1621.9990675449371
 35, 99.540, 0.004, 100.091,1670.4558312892914
 36, 99.570, 0.003, 100.125,1719.0539696216583
 37, 99.580, 0.003, 100.129,1767.263473033905
 38, 99.570, 0.004, 100.103,1815.2338376045227
 39, 99.560, 0.003, 100.127,1863.668948173523
 40, 99.560, 0.003, 100.124,1910.6306579113007
 41, 99.530, 0.003, 100.127,1959.055671453476
 42, 99.560, 0.003, 100.105,2006.082508802414
 43, 99.530, 0.003, 100.134,2053.7022647857666
 44, 99.530, 0.003, 100.125,2101.8884224891663
 45, 99.550, 0.002, 100.145,2148.997261285782
 46, 99.530, 0.003, 100.120,2196.4693565368652
 47, 99.540, 0.003, 100.132,2244.43247961998
 48, 99.550, 0.002, 100.154,2292.713707447052
 49, 99.530, 0.002, 100.149,2339.797077178955
 50, 99.550, 0.002, 100.137,2387.6943113803864
